2
0 180 73
0 180 73

	14.5886	14.7176	14.2328	13.235
	11.8832	10.6834	9.47566	8.27835
	7.16469	6.11546	5.17634	4.3924
	3.74505	3.24002	2.81696	2.488
	2.20798	1.96398	1.73756	1.53815
	1.3512	1.18299	1.02789	0.898682
	0.782101	0.680827	0.591709	0.514905
	0.442682	0.380223	0.32219	0.26762
	0.219061	0.177743	0.143486	0.114235
	0.0815642	0.0539441	0.0342346	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0.0281341	0.0359106	0.0436425	0.0505251
	0.056514	0.060581	0.0634637	0.0648715
	0.0660112	0.0670838	0.0686704	0.0696536
	0.0687374	0.0653631	0.0646927	0.062257
	0.058838	0.0553073	0.0473743	0.0387709
	0.0307486	14.5886	14.7175	14.2341
	13.2318	11.8872	10.6794	9.47566
	8.28478	7.16467	6.11542	5.18501
	4.39707	3.74865	3.23966	2.81761
	2.48887	2.21111	1.96458	1.7379
	1.53866	1.35146	1.18324	1.0282
	0.899553	0.782101	0.680425	0.591575
	0.514436	0.441877	0.379508	0.321587
	0.266972	0.218682	0.177475	0.14333
	0.113765	0.0810726	0.0535419	0.0338994
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0.028067	0.0359777	0.0435307
	0.0505922	0.0564916	0.0606034	0.0636648
	0.0652291	0.066257	0.0676648	0.0690503
	0.0699888	0.0692291	0.0655419	0.0651173
	0.0625251	0.0591061	0.055419	0.0475307
	0.0387039	0.0307933	14.5886	14.7132
	14.2373	13.2254	11.9066	10.6827
	9.47846	8.29446	7.17113	6.12125
	5.18845	4.40366	3.75236	3.24371
	2.81752	2.49211	2.21365	1.96599
	1.73777	1.53839	1.35142	1.18366
	1.02851	0.899263	0.781922	0.679799
	0.590078	0.51276	0.439665	0.37752
	0.319553	0.265162	0.217341	0.176469
	0.142525	0.112313	0.0797318	0.0523352
	0.0329609	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0.0278659	0.0356201
	0.0435978	0.0504358	0.0564693	0.0609162
	0.0640447	0.0659441	0.0669721	0.0684022
	0.0698101	0.0705475	0.0695642	0.0659441
	0.0655196	0.0628827	0.0595084	0.0556648
	0.0477765	0.0386592	0.030905	14.5886
	14.7124	14.2393	13.2254	11.9225
	10.6926	9.47607	8.30731	7.17987
	6.13497	5.1954	4.41578	3.76
	3.24909	2.8215	2.49542	2.21408
	1.96554	1.7362	1.53656	1.35035
	1.18297	1.02858	0.899106	0.780894
	0.678279	0.587732	0.509877	0.436469
	0.374279	0.316112	0.262302	0.214927
	0.174547	0.141073	0.109922	0.0774972
	0.0505475	0.0315307	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0.0278436
	0.0355307	0.043352	0.0504134	0.056514
	0.0611397	0.064648	0.0667263	0.0678883
	0.0694078	0.0706816	0.0712849	0.0701676
	0.0661899	0.0654078	0.0629721	0.0596201
	0.0558659	0.048	0.0386369	0.0310391
	14.5886	14.7138	14.2457	13.2222
	11.9383	10.7027	9.48679	8.3223
	7.20013	6.15298	5.21086	4.432
	3.77385	3.25725	2.82831	2.49698
	2.21006	1.96179	1.73202	1.53383
	1.34791	1.18172	1.02731	0.897408
	0.779374	0.675374	0.584447	0.506034
	0.432246	0.369922	0.31162	0.258592
	0.211508	0.171888	0.138302	0.106682
	0.0745922	0.0482905	0.029743	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0.0278436	0.0355307	0.0433296	0.0503687
	0.0565587	0.0614302	0.065162	0.0675978
	0.0691397	0.0705475	0.0717989	0.0721341
	0.0709274	0.0666816	0.0656983	0.062905
	0.0597989	0.0560894	0.0481564	0.0385698
	0.0311732	14.5886	14.7156	14.2521
	13.2329	11.9573	10.7226	9.51084
	8.34742	7.22735	6.17453	5.23073
	4.45008	3.78764	3.26901	2.83544
	2.49779	2.20851	1.95582	1.72632
	1.52802	1.34427	1.17803	1.02514
	0.894771	0.776246	0.671464	0.580067
	0.501028	0.426994	0.364626	0.306503
	0.253966	0.207575	0.167955	0.134034
	0.102749	0.0712849	0.0456983	0.0278436
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0.0277989	0.0355531	0.043352
	0.0504581	0.0566257	0.0617207	0.0656089
	0.0683128	0.0701676	0.0716648	0.0728492
	0.0729832	0.071486	0.0672626	0.0660782
	0.0630838	0.0598436	0.0562682	0.0483128
	0.0384804	0.0312179	14.5886	14.7156
	14.2539	13.2526	11.9768	10.7552
	9.54503	8.37993	7.25899	6.20411
	5.2541	4.46988	3.80351	3.2804
	2.84034	2.49698	2.20416	1.94798
	1.71926	1.51982	1.33707	1.1714
	1.02069	0.889788	0.771508	0.665966
	0.575017	0.495061	0.421207	0.35857
	0.300961	0.248961	0.203128	0.163017
	0.128425	0.0983017	0.0677542	0.0429497
